Fund,Weight
118632,0.04426407811484791
100033,0.0442532083531441
148568,0.04376326812259452
100025,0.042739939396473
120507,0.04268995836499575
118633,0.04238726097797183
120506,0.041658581784145464
118635,0.039121223667068675
125497,0.03889244685093083
120841,0.03647528515535054
100016,0.036306438689982484
102887,0.03514946449170012
120843,0.03371689049221594
120504,0.03237865284700276
102885,0.031772935864428246
148569,0.03148599566953855
125498,0.030975140649412713
119551,0.029840525570405202
101206,0.02749580373893618
149323,0.026993658384282672
148567,0.025913405356359935
118636,0.025722630165363747
120503,0.02541291566082112
149322,0.023934699758755187
102886,0.023289251814568087
149324,0.019314524395984026
120505,0.018322916385422768
120842,0.016785824910916684
119094,0.015446757350216106
119095,0.014889994151031666
119552,0.012253349033311461
101208,0.010166037089822857
119092,0.007577780042319472
119598,0.00673546185637513
119120,0.005174339689434382
119599,0.004026869575313349
120844,0.003760533805320777
101207,0.0036263682804106535
119093,0.0026999461327329123
118634,0.0025856373600920165
